state,district,city_town
Andaman & Nicobar Islands,Andamans,Port Blair
Andaman & Nicobar Islands,Andamans,Garacharma
Andaman & Nicobar Islands,Andamans,Bombooflat
Andhra Pradesh,Alluri Sitharama Raju,Paderu
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley
Andhra Pradesh,Anakapalli,Anakapalle
Andhra Pradesh,Anantapur,Anantapur
Andhra Pradesh,Anantapur,Guntakal
Andhra Pradesh,Anantapur,Tadipatri
Andhra Pradesh,Annamayya,Rayachoti
Andhra Pradesh,Annamayya,Madanapalle
Andhra Pradesh,Bapatla,Bapatla
Andhra Pradesh,Bapatla,Chirala
Andhra Pradesh,Chittoor,Chittoor
Andhra Pradesh,Chittoor,Punganur
Andhra Pradesh,East Godavari,Rajahmundry
Andhra Pradesh,East Godavari,Kovvur
Andhra Pradesh,Eluru,Eluru
Andhra Pradesh,Guntur,Guntur
Andhra Pradesh,Guntur,Tenali
Andhra Pradesh,Guntur,Mangalagiri
Andhra Pradesh,Kakinada,Kakinada
Andhra Pradesh,Kakinada,Samalkot
Andhra Pradesh,Krishna,Machilipatnam
Andhra Pradesh,Krishna,Gudivada
Andhra Pradesh,Kurnool,Kurnool
Andhra Pradesh,Kurnool,Adoni
Andhra Pradesh,Nandyal,Nandyal
Andhra Pradesh,NTR,Vijayawada
Andhra Pradesh,NTR,Jaggayyapeta
Andhra Pradesh,Palnadu,Narasaraopet
Andhra Pradesh,Prakasam,Ongole
Andhra Pradesh,Prakasam,Markapur
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore
Andhra Pradesh,Sri Potti Sriramulu Nellore,Kavali
Andhra Pradesh,Sri Sathya Sai,Puttaparthi
Andhra Pradesh,Sri Sathya Sai,Dharmavaram
Andhra Pradesh,Srikakulam,Srikakulam
Andhra Pradesh,Tirupati,Tirupati
Andhra Pradesh,Tirupati,Srikalahasti
Andhra Pradesh,Visakhapatnam,Visakhapatnam
Andhra Pradesh,Visakhapatnam,Gajuwaka
Andhra Pradesh,Vizianagaram,Vizianagaram
Andhra Pradesh,West Godavari,Bhimavaram
Andhra Pradesh,West Godavari,Tadepalligudem
Andhra Pradesh,YSR Kadapa,Kadapa
Andhra Pradesh,YSR Kadapa,Proddatur
Karnataka,Bagalkot,Bagalkot
Karnataka,Bagalkot,Badami
Karnataka,Bagalkot,Jamkhandi
Karnataka,Ballari,Ballari
Karnataka,Ballari,Siruguppa
Karnataka,Belagavi,Belagavi
Karnataka,Belagavi,Gokak
Karnataka,Belagavi,Chikkodi
Karnataka,Bengaluru Rural,Doddaballapura
Karnataka,Bengaluru Rural,Devanahalli
Karnataka,Bengaluru Rural,Hosakote
Karnataka,Bengaluru Rural,Nelamangala
Karnataka,Bengaluru Urban,Bengaluru Central
Karnataka,Bengaluru Urban,Whitefield
Karnataka,Bengaluru Urban,Indiranagar
Karnataka,Bengaluru Urban,Koramangala
Karnataka,Bengaluru Urban,Jayanagar
Karnataka,Bengaluru Urban,Electronic City
Karnataka,Bengaluru Urban,Yelahanka
Karnataka,Bidar,Bidar
Karnataka,Bidar,Basavakalyan
Karnataka,Chamarajanagar,Chamarajanagar
Karnataka,Chamarajanagar,Gundlupet
Karnataka,Chamarajanagar,Kollegal
Karnataka,Chikkaballapura,Chikkaballapura
Karnataka,Chikkaballapura,Gowribidanur
Karnataka,Chikkamagaluru,Chikkamagaluru
Karnataka,Chikkamagaluru,Kadur
Karnataka,Chitradurga,Chitradurga
Karnataka,Chitradurga,Challakere
Karnataka,Dakshina Kannada,Mangaluru
Karnataka,Dakshina Kannada,Bantwal
Karnataka,Dakshina Kannada,Puttur
